"ID","IV"
271,5.31155211774867
48,0.843461171359183
471,5.1169402940511
208,6.61003808194479
465,6.38002488472843
371,1.4594924595413
447,2.99297726918272
659,1.59420077942679
389,NA
502,4.17606611416032
263,4.26675353767328
212,6.5327899109832
167,4.78658082300739
138,5.38536079879772
203,5.9609119699138
641,3.26585600411716
24,6.01514834901161
198,4.91891590340495
461,5.61715192494417
106,4.96805884161364
289,3.88663932496767
380,5.59575981160049
124,6.26718827962045
177,4.82925681744893
395,1.41178529381883
170,7.21571308100132
539,4.03272749327998
219,4.35443629073729
534,5.24829168780136
120,4.40089652184716
537,6.2736203454082
590,4.39778662934767
172,2.62534104373385
162,2.81416328332456
293,5.30271679839557
221,6.16873884825718
111,4.29499962504893
614,6.60561757168652
101,NA
558,8.3259484101636
204,NA
231,6.16002089044185
253,1.91349688081708
241,6.51127432311853
358,NA
156,3.82354002285703
544,7.22323195624012
419,NA
379,5.66250991227614
192,6.17572586976663
406,3.71040537255682
324,1.39104650577659
251,7.28257613214235
127,5.5130390649803
300,7.35960140487612
329,6.42008663157891
398,5.11147776366925
653,5.27524801655901
376,6.76319002481312
321,4.23155687887834
66,5.1303640719491
165,5.67052498396142
597,3.63181577294975
342,6.00195315332273
652,4.41495511480053
288,4.61380028161363
578,5.20238447141385
45,8.70724682827229
86,3.66855236860963
454,7.88665128579415
478,3.73435426073607
370,NA
387,3.21710994858988
460,NA
255,6.78193198424799
519,3.15915972018722
151,4.74839181250814
623,4.29044205481826
179,2.79974498720633
482,4.32682967708461
536,2.83201306092448
107,7.08953716561475
644,5.14861818335006
13,8.03340685428804
599,7.66724981552452
548,4.78726845687597
34,6.24629237172607
527,4.51341008522557
315,0.504458308669095
634,2.45422328554207
557,5.36954564054794
656,3.95239210996134
564,NA
404,NA
346,5.35704886479547
108,NA
476,4.255553001295
334,4.70238544711086
639,4.69246595833733
607,7.01383693238456
360,NA
270,2.08190963644537
388,4.94192429760396
152,1.191932265777
223,0.683309990817297
374,4.86401479264431
486,7.67901057546284
637,3.21504173145636
407,3.92607993001917
173,4.99076941118457
164,3.47498175094404
298,4.56670817397706
646,7.49457173600077
137,5.24056784558586
385,6.75531509228847
89,7.87503888520048
338,NA
87,8.04269830160641
551,6.77797618568395
41,5.87402704875085
509,2.77280192670421
43,NA
413,6.46831643265158
95,3.92963229670989
185,4.81469393986631
516,NA
9,5.12470273723695
337,6.4485183273384
317,4.87460381664944
168,1.25560272331754
467,3.80085875566138
327,NA
515,3.55642629874041
619,NA
369,4.0888667584752
583,8.16531225578708
593,4.15057323477294
654,2.50062608927046
35,7.2999911111595
266,2.3820003939753
575,6.81463488264994
561,1.48466488655959
375,4.42780825184785
438,4.45890032279639
497,8.45031194888692
169,4.84272643939284
547,4.32078032966849
405,NA
150,2.03515495693657
218,5.82066236373428
605,5.74667820894264
335,5.04581180336835
128,4.98952496590342
581,3.77376888778906
355,4.07279001335395
609,6.05952209664741
621,10.2878356095249
491,4.67526881542687
308,3.80516244710472
58,4.63531448345979
333,6.88433587504249
225,NA
530,3.10292703037045
500,3.99359726927734
650,4.73275338101877
464,3.35487844888325
254,0.293927624289728
409,NA
63,5.73617643703177
643,1.99640026692706
244,2.51515297990013
552,4.03524490966295
104,1.93291242746118
248,3.02301900978804
5,3.05968264827211
353,6.79732028149219
429,6.98597865606411
159,2.73566072234285
445,3.13014937841135
200,6.76231535788593
109,7.61214034963969
121,2.17251725338755
78,7.28123732439749
100,4.53496204957415
220,6.20868498928906
284,7.46298886814841
184,6.71375298872838
455,4.35735004369974
629,5.52649159816633
313,NA
310,2.14362940899082
618,7.86910616577992
507,3.0174844002515
635,4.24216897938977
283,4.78877509512016
523,11.6531599251594
415,4.10329284197007
55,0.408839008338729
408,2.4813708752011
556,3.44081022224282
99,4.93470907674032
414,1.51424924030749
210,4.12068412783342
193,3.71790513928314
498,4.37201066494387
359,1.75723370476438
190,6.80833000278564
480,NA
123,5.73669379719518
470,7.74414417967751
511,2.20974477820794
279,3.71882825726119
17,6.57063791289744
431,5.06308092734503
576,NA
372,3.13227957618591
326,6.95671440498971
217,3.80177179738534
538,5.18894981006231
565,5.20992870897971
145,3.7675012175219
269,3.67141855334175
70,NA
31,6.91090129933937
130,5.0908968767845
349,5.4964842349549
596,3.7605823384916
142,5.78953838706193
262,7.44063538586282
591,7.42935801193723
603,2.25486778713215
658,2.02868552410459
273,2.68279854954156
442,3.29192724057475
286,4.41059874655917
194,2.50813408211631
213,5.61967147149679
73,4.63904265661981
261,3.88156189668211
85,5.14521738963464
587,3.78760954006744
205,4.9955430397916
602,4.21479562118126
126,4.8372212299068
197,2.81544500787542
228,4.14253950431651
529,5.93431943765461
249,6.64005699599848
473,5.48078462140077
258,6.34434222174606
475,1.99625597642688
493,5.3735280292933
290,NA
569,2.52305890649546
77,4.66646663005507
214,4.81596850989396
378,4.54498808998517
233,3.82586323770791
434,NA
207,7.22535660131484
22,6.68514802082666
294,1.03613780018277
322,4.28638992719608
229,NA
594,4.25260273732916
604,4.22192205138293
287,NA
432,6.86157534432288
545,4.91092882713585
582,6.35243433175886
505,6.81150646051798
457,4.14659548448141
526,3.36858557313127
481,4.85536102181418
153,1.71868854474744
242,7.10292599689322
437,4.88125084858435
430,NA
118,NA
332,8.46767241316427
64,5.45937929013387
433,7.13310600165768
328,5.73953688293621
299,5.37626106233052
311,6.31760281097163
222,5.23443292532841
305,5.1504766986718
81,3.00958120834032
586,6.92781777147917
